genus,species,demersal,marine,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,benthopelagic,freshwater,min_ph,max_ph,min_dh,max_dh,reef-associated,pelagic,amphidromous,brackish,non-migratory,potamodromous,bathydemersal,oceanodromous,pelagic-neritic,anadromous,pelagic-oceanic,bathypelagic,catadromous
badis,badis,,,,,,,1.0,1.0,6.0,6.0,5.0,5.0,,,,,,,,,,,,,
notropis,buchanani,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,petersoni,,,,,,,1.0,1.0,7.2,7.2,10.0,10.0,,,,,,,,,,,,,
atherina,lopeziana,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
pseudorhombus,malayanus,1.0,1.0,20,27,,,,,,,,,,,,,,,,,,,,,
iniistius,umbrilatus,,1.0,6,76,,,,,,,,,1.0,,,,1.0,,,,,,,,
ptychochromis,oligacanthus,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
parastromateus,niger,,1.0,15,105,15,40,,,,,,,1.0,,1.0,1.0,,,,,,,,,
schilbe,bocagii,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
blenniella,gibbifrons,,1.0,0,4,,,,,,,,,1.0,,,,,,,,,,,,
synodus,jaculum,,1.0,2,100,,,,,,,,,1.0,,,,,,,,,,,,
psectrogaster,curviventris,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
lile,nigrofasciata,,1.0,0,2,,,,,,,,,,,,,,,,,1.0,,,,
astyanax,villwocki,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
megalops,cyprinoides,,1.0,1,50,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
henicorhynchus,entmema,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
neoniphon,sammara,,1.0,0,46,,,,,,,,,1.0,,,,,,,,,,,,
myripristis,pralinia,,1.0,8,50,,,,,,,,,1.0,,,,,,,,,,,,
acanthurus,tractus,,1.0,11,45,,,,,,,,,1.0,,,,,,,,,,,,
erimyzon,claviformis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
cottus,perplexus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
poeciliopsis,fasciata,,,,,,,1.0,1.0,7.0,7.0,25.0,25.0,,,,1.0,,,,,,,,,
lepomis,megalotis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
liopropoma,susumi,,1.0,2,34,,,,,,,,,1.0,,,,,,,,,,,,
labeobarbus,robertsi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
pollimyrus,isidori,1.0,,,,,,,1.0,6.0,6.0,5.0,5.0,,,,,,1.0,,,,,,,
solea,ovata,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
labeobarbus,iphthimostoma,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
istiblennius,lineatus,,1.0,0,3,,,,,,,,,1.0,,,,,,,,,,,,
luciobarbus,pallaryi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
acanthopagrus,berda,1.0,1.0,?,50,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,
pteronemacheilus,meridionalis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
pempheris,mangula,1.0,1.0,?,20,,,,,,,,,,,,,,,,,,,,,
clinostomus,funduloides,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
barbus,oxyrhynchus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
omobranchus,ferox,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,
cyprinella,stigmatura,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cephalopholis,aurantia,,1.0,40,300,100,250,,,,,,,1.0,,,,1.0,,,,,,,,
haplochromis,pallidus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
plectorhinchus,lessonii,,1.0,1,35,,,,,,,,,1.0,,,,,,,,,,,,
chromis,alpha,,1.0,11,110,,,,,,,,,1.0,,,,1.0,,,,,,,,
cheilinus,chlorourus,,1.0,1,30,,,,,,,,,1.0,,,,,,,,,,,,
dischistodus,prosopotaenia,,1.0,1,12,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,
opsopoeodus,emiliae,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
cyprinella,formosa,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
pseudogramma,polyacantha,,1.0,1,65,,,,,,,,,1.0,,,,,,,,,,,,
amphiprion,perideraion,,1.0,1,38,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,
saurida,caribbaea,1.0,1.0,6,460,20,215,,,,,,,,,,,,,,,,,,,
notropis,texanus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
labeobarbus,rhinophorus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
pristipomoides,typus,1.0,1.0,40,120,,,,,,,,,,,,,,,,,,,,,
noturus,leptacanthus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
galaxias,olidus,,,0,1,,,1.0,1.0,,,,,,,,,,,,,,,,,
oncorhynchus,tshawytscha,,1.0,0,375,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,
schistura,sexcauda,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
coris,sandeyeri,,1.0,?,60,,,,,,,,,1.0,,,,,,,,,,,,
sargocentron,caudimaculatum,,1.0,2,40,,,,,,,,,1.0,,,,,,,,,,,,
anarhichas,lupus,1.0,1.0,1,600,18,110,,,,,,,,,,,,,,1.0,,,,,
elops,lacerta,,1.0,1,50,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,
varicorhinus,beso,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
macropodus,ocellatus,,,0,?,,,1.0,1.0,6.0,6.0,5.0,5.0,,,,,,,,,,,,,
saurida,flamma,,1.0,5,30,,,,,,,,,1.0,,,,1.0,,,,,,,,
squalus,megalops,1.0,1.0,30,750,80,300,,,,,,,,,,,,,,,,,,,
nocomis,biguttatus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
oostethus,brachyurus,1.0,1.0,0,5,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,
thalassoma,trilobatum,,1.0,0,10,,,,,,,,,1.0,,,,,,,,,,,,
chrysichthys,auratus,1.0,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,
homalopteroides,modestus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
cirrhilabrus,rubrimarginatus,,1.0,25,52,,,,,,,,,1.0,,,,,,,,,,,,
tetragonurus,cuvieri,,1.0,1,800,,,,,,,,,,,,,,,,1.0,,,,1.0,
mystus,pulcher,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
percina,cymatotaenia,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
sicydium,plumieri,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
epinephelus,latifasciatus,1.0,1.0,20,240,,,,,,,,,,,,,,,,,,,,,
labeobarbus,microterolepis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
neozoarces,steindachneri,1.0,1.0,0,10,,,,,,,,,,,,,,,,,,,,,
tympanopleura,atronasus,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
notropis,volucellus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
stolephorus,waitei,,1.0,0,50,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,
notropis,stilbius,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
ladigesocypris,ghigii,,,,,,,1.0,1.0,7.0,7.0,18.0,18.0,,,,,,,,,,,,,
chlorurus,microrhinos,,1.0,0,50,1,15,,,,,,,1.0,,,,,,,,,,,,
cephalopholis,leopardus,,1.0,0,40,3,20,,,,,,,1.0,,,,1.0,,,,,,,,
leptoscarus,vaigiensis,,1.0,1,15,,,,,,,,,1.0,,,,,,,,,,,,
rhinecanthus,assasi,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
catostomus,warnerensis,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
moenkhausia,inrai,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
centropyge,flavissima,,1.0,0,50,,,,,,,,,1.0,,,,1.0,,,,,,,,
sardinella,fimbriata,,1.0,0,50,,,,,,,,,,,,1.0,,,,,1.0,,,,
lutjanus,rivulatus,,1.0,3,150,,,,,,,,,1.0,,,,,,,,,,,,
notropis,asperifrons,,,1,2,,,1.0,1.0,,,,,,,,,,,,,,,,,
labeobarbus,nedgia,,,1,6,,,1.0,1.0,,,,,,,,,,,,,,,,,
salmo,trutta,,1.0,0,28,1,2,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,
periophthalmus,novemradiatus,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
haplochromis,ishmaeli,,,?,9,,,1.0,1.0,,,,,,,,,,,,,,,,,
laemolyta,varia,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
gymnocorymbus,ternetzi,,,,,,,,1.0,6.0,6.0,5.0,5.0,,1.0,,,,,,,,,,,
hologymnosus,doliatus,,1.0,1,35,5,30,,,,,,,1.0,,,,,,,,,,,,
oxycheilinus,digramma,,1.0,3,60,,,,,,,,,1.0,,,1.0,,,,,,,,,
thalassoma,duperrey,,1.0,1,?,5,25,,,,,,,1.0,,,,1.0,,,,,,,,
parascombrops,nakayamai,,1.0,216,794,,,,,,,,,,,,,,,1.0,,,,,,
etroplus,suratensis,,,10,?,,,1.0,,,,,,,,,1.0,,,,,,,,,
sphyraena,lucasana,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
lutjanus,boutton,,1.0,3,50,,,,,,,,,1.0,,,,,,,,,,,,
ostorhinchus,aureus,,1.0,1,40,,,,,,,,,1.0,,,,,,,,,,,,
stethojulis,terina,1.0,1.0,2,7,,,,,,,,,,,,,,,,,,,,,
notropis,saladonis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
microcanthus,strigatus,,1.0,1,140,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,
lepomis,humilis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
fusigobius,humeralis,1.0,1.0,3,30,,,,,,,,,,,,,,,,,,,,,
noturus,nocturnus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
eviota,prasina,,1.0,0,65,,,,,,,,,1.0,,,,,,,,,,,,
kyphosus,incisor,,1.0,1,15,,,,,,,,,1.0,,,,,,,,,,,,
taenianotus,triacanthus,,1.0,5,135,5,20,,,,,,,1.0,,,,1.0,,,,,,,,
garra,cambodgiensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
symphorichthys,spilurus,,1.0,5,60,,,,,,,,,1.0,,,,,,,,,,,,
polypterus,senegalus,1.0,,,,,,,1.0,6.0,6.0,5.0,5.0,,,,,,1.0,,,,,,,
aluterus,monoceros,,1.0,1,80,,,,,,,,,1.0,,,,,,,,,,,,
neobythites,vityazi,,1.0,280,760,,,,,,,,,,,,,,,1.0,,,,,,
jenynsia,lineata,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,
poecilia,reticulata,,,,,,,1.0,1.0,7.0,7.0,9.0,9.0,,,,1.0,1.0,,,,,,,,
bairdiella,ronchus,1.0,1.0,16,40,,,,,,,,,,,,1.0,,,,,,,,,
gomphosus,caeruleus,,1.0,1,35,,,,,,,,,1.0,,,,,,,,,,,,
alosa,aestivalis,,1.0,5,55,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,
odontesthes,regia,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,
cirrhitops,fasciatus,,1.0,1,52,,,,,,,,,1.0,,,,1.0,,,,,,,,
sardinella,gibbosa,,1.0,10,70,,,,,,,,,,,,,,,,,1.0,,,,
alosa,fallax,,1.0,10,400,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,
blenniella,bilitonensis,,1.0,0,3,,,,,,,,,1.0,,,,,,,,,,,,
alosa,chrysochloris,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,
chaetodon,lunula,,1.0,0,170,,,,,,,,,1.0,,,,,,,,,,,,
pagrus,auratus,,1.0,0,200,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,
salarias,fasciatus,,1.0,0,8,,,,,,,,,1.0,,,1.0,,,,,,,,,
acantopsis,rungthipae,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
acyrtus,rubiginosus,,1.0,0,4,,,1.0,,,,,,,,,,,,,,,,,,
haplochromis,albertianus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,chihuahua,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
epinephelus,sexfasciatus,,1.0,10,80,,,,,,,,,1.0,,,,,,,,,,,,
auxis,rochei,,1.0,10,?,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,
pseudochromis,fowleri,1.0,1.0,0,2,,,,,,,,,,,,,,,,,,,,,
cryptocentrus,fasciatus,,1.0,5,20,5,15,,,,,,,1.0,,,,,,,,,,,,
perca,flavescens,,,0,56,?,9,1.0,1.0,,,,,,,,1.0,,,,,,,,,
mastacembelus,tinwini,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
hyphessobrycon,copelandi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
pseudanthias,squamipinnis,,1.0,0,55,5,35,,,,,,,1.0,,,,,,,,,,,,
poecilia,mexicana,,,,,,,1.0,1.0,7.0,7.0,20.0,20.0,,,,1.0,1.0,,,,,,,,
chiloscyllium,punctatum,,1.0,0,85,,,,,,,,,1.0,,,,,,,,,,,,
neobythites,fijiensis,,1.0,360,380,,,,,,,,,,,,,,,1.0,,,,,,
neoniphon,aurolineatus,,1.0,30,188,40,70,,,,,,,1.0,,,,,,,,,,,,
etelis,carbunculus,,1.0,90,400,200,350,1.0,,,,,,,,,,,,,,,,,,
hoplias,microlepis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
auchenipterichthys,longimanus,,,,,,,1.0,1.0,6.0,6.0,18.0,18.0,,,,,,,,,,,,,
scarus,niger,,1.0,0,30,,,,,,,,,1.0,,,,,,,,,,,,
chiloglanis,micropogon,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
tor,putitora,,,0,?,0,1,1.0,1.0,7.4,7.4,,,,,,,,1.0,,,,,,,
ailia,coila,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,
sewellia,lineolata,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
pseudochromis,linda,1.0,1.0,1,20,,,,,,,,,,,,,,,,,,,,,
hybognathus,nuchalis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
labeobarbus,roylii,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
scyliorhinus,retifer,1.0,1.0,36,750,,,,,,,,,,,,,,,,,,,,,
lethrinus,rubrioperculatus,,1.0,10,198,,,,,,,,,1.0,,,,1.0,,,,,,,,
rhinogobius,philippinus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
lethrinus,haematopterus,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,
upeneus,oligospilus,,1.0,0,13,,,,,,,,,1.0,,,,,,,,,,,,
catostomus,columbianus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
etheostoma,histrio,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
corythoichthys,haematopterus,,1.0,0,21,,,,,,,,,1.0,,,,,,,,,,,,
channa,striata,,,1,10,1,2,1.0,1.0,7.0,7.0,20.0,20.0,,,,1.0,,1.0,,,,,,,
pseudalutarius,nasicornis,,1.0,1,55,,,,,,,,,1.0,,,,,,,,,,,,
epinephelus,spilotoceps,,1.0,0,30,,,,,,,,,1.0,,,,,,,,,,,,
benthosema,pterotum,,1.0,10,300,,,1.0,,,,,,,,,,,,,,,,,,
campostoma,ornatum,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
enchelycore,lichenosa,,1.0,5,24,,,,,,,,,1.0,,,,,,,,,,,,
amphiprion,melanopus,,1.0,1,18,,,,,,,,,1.0,,,,1.0,,,,,,,,
serrasalmus,odyssei,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
chaunax,suttkusi,,1.0,220,1362,,,,,,,,,,,,,,,1.0,,,,,,
amblyeleotris,steinitzi,,1.0,2,43,,,,,,,,,1.0,,,1.0,,,,,,,,,
epinephelus,maculatus,,1.0,2,100,,,,,,,,,1.0,,,,,,,,,,,,
plagopterus,argentissimus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
denticeps,clupeoides,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
oxycheilinus,nigromarginatus,,1.0,10,27,,,,,,,,,1.0,,,,,,,,,,,,
ompok,bimaculatus,1.0,,0,2,,,,1.0,6.0,6.0,4.0,4.0,,,,1.0,,1.0,,,,,,,
plectorhinchus,gaterinus,,1.0,55,80,,,,,,,,,1.0,,,,,,,,,,,,
mylochromis,semipalatus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
kuhlia,xenura,,1.0,1,22,1,5,1.0,1.0,,,,,,,,1.0,,,,,,,,,
glyptothorax,callopterus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cyprinodon,variegatus,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,
girardinus,creolus,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,
sillago,sihama,,1.0,0,60,0,2,,,,,,,1.0,,1.0,1.0,,,,,,,,,
corydoras,hastatus,1.0,,,,,,,1.0,6.0,6.0,5.0,5.0,,,,,,,,,,,,,
thalassoma,genivittatum,,1.0,0,?,4,25,,,,,,,1.0,,,,,,,,,,,,
epinephelus,ongus,,1.0,20,60,,,,,,,,,1.0,,,1.0,,,,,,,,,
hippopotamyrus,paugyi,1.0,,,,,,,1.0,6.5,6.5,10.0,10.0,,,,,,,,,,,,,
labiobarbus,leptocheilus,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
gambusia,panuco,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
halichoeres,leucoxanthus,,1.0,7,60,15,50,,,,,,,1.0,,,,,,,,,,,,
cephalopholis,argus,,1.0,0,40,1,15,,,,,,,1.0,,,,1.0,,,,,,,,
halichoeres,hortulanus,,1.0,0,40,1,30,,,,,,,1.0,,,,,,,,,,,,
cirrhilabrus,lubbocki,,1.0,4,45,5,30,,,,,,,1.0,,,,,,,,,,,,
opsarius,pulchellus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
hemigrammus,ocellifer,,,,,,,1.0,1.0,6.0,6.0,5.0,5.0,,,,,,,,,,,,,
caprodon,schlegelii,,1.0,50,200,,,1.0,,,,,,,,,,,,,,,,,,
gymnocephalus,cernua,,,2,85,,,1.0,1.0,7.0,7.0,8.0,8.0,,,,1.0,,1.0,,,,,,,
cottus,asper,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0
notropis,topeka,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
gambusia,alvarezi,,,,,,,1.0,1.0,7.5,7.5,10.0,10.0,,,,,1.0,,,,,,,,
labeobarbus,altianalis,,,0,50,,,1.0,1.0,,,,,,,,,,,,,,,,,
carangoides,bajad,,1.0,2,70,,,,,,,,,1.0,,,,,,,,,,,,
etheostoma,perlongum,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
lepomis,gibbosus,,,0,41,,,1.0,1.0,7.0,7.0,10.0,10.0,,,,1.0,,1.0,,,,,,,
sargocentron,tiere,,1.0,0,183,1,20,,,,,,,1.0,,,,,,,,,,,,
ptereleotris,microlepis,,1.0,1,50,1,10,,,,,,,1.0,,,,,,,,,,,,
hyphessobrycon,poecilioides,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
diplodus,noct,,1.0,1,8,,,,,,,,,1.0,,,,,,,,,,,,
hemibagrus,fortis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
microphysogobio,brevirostris,,,1,5,,,1.0,1.0,,,,,,,,,,,,,,,,,
parodon,pongoensis,,,,,,,1.0,1.0,6.0,6.0,15.0,15.0,,,,,,,,,,,,,
hypoptopoma,inexspectatum,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
anchoa,mitchilli,,1.0,1,70,1,36,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,
chrosomus,cumberlandensis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
pristiapogon,kallopterus,,1.0,3,158,,,,,,,,,1.0,,,1.0,,,,,,,,,
notropis,hudsonius,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,
plectranthias,longimanus,,1.0,6,75,,,,,,,,,1.0,,,,,,,,,,,,
morone,chrysops,,,0,13,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
bythaelurus,clevai,,1.0,425,500,,,,,,,,,,,,,,,1.0,,,,,,
stethojulis,interrupta,,1.0,?,18,,,,,,,,,1.0,,,,,,,,,,,,
notropis,jemezanus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
trachurus,symmetricus,,1.0,0,400,,,,,,,,,,,,,,,,1.0,,,1.0,,
hypsibarbus,wetmorei,,,,,,,1.0,1.0,7.0,7.0,15.0,15.0,,,,,,1.0,,,,,,,
plectropomus,laevis,,1.0,4,100,,,,,,,,,1.0,,,,,,,,,,,,
catostomus,bernardini,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
ancistrus,occidentalis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
prochilodus,reticulatus,,,1,?,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,
paretroplus,kieneri,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
notropis,rubricroceus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
lepisosteus,oculatus,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
devario,regina,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
orestias,tutini,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,
scorpaenodes,varipinnis,,1.0,0,200,,,,,,,,,1.0,,,,,,,,,,,,
breviraja,colesi,,1.0,366,522,,,,,,,,,,,,,,,1.0,,,,,,
lepidomeda,vittata,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
trachyrhamphus,bicoarctatus,,1.0,1,42,,,,,,,,,1.0,,,,,,,,,,,,
cyprinella,caerulea,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
rhinecanthus,aculeatus,,1.0,0,50,,,,,,,,,1.0,,,,,,,,,,,,
rhabdosargus,globiceps,,1.0,?,100,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,
halichoeres,margaritaceus,,1.0,0,5,,,,,,,,,1.0,,,,,,,,,,,,
osteochilus,vittatus,,,5,?,,,1.0,1.0,6.5,6.5,5.0,5.0,,,,,,1.0,,,,,,,
copadichromis,verduyni,,,,,,,1.0,1.0,7.3,7.3,5.0,5.0,,,,,,,,,,,,,
notropis,baileyi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
hypentelium,nigricans,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
pareutropius,longifilis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
oncorhynchus,kisutch,,1.0,0,250,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,
noturus,gilberti,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
notolabrus,tetricus,,1.0,?,50,,,,,,,,,1.0,,,,,,,,,,,,
thalassoma,lutescens,,1.0,0,30,1,30,,,,,,,1.0,,,,,,,,,,,,
caprodon,longimanus,,1.0,0,400,15,60,,,,,,,1.0,,,,,,,,,,,,
rhinichthys,umatilla,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
cirrhitichthys,oxycephalus,,1.0,1,40,10,25,,,,,,,1.0,,,,,,,,,,,,
jupiaba,ocellata,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
mystus,bocourti,1.0,,,,,,,1.0,6.5,6.5,10.0,10.0,,,,,,1.0,,,,,,,
calotomus,japonicus,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
gymnothorax,rueppellii,,1.0,0,40,,,,,28.0,28.0,,,1.0,,,1.0,,,,,,,,,
hemiramphus,far,,1.0,0,6,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,
elagatis,bipinnulata,,1.0,0,150,2,10,,,,,,,1.0,,,,,,,,,,,,
garra,allostoma,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
enteromius,chlorotaenia,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
coilia,dussumieri,,1.0,0,50,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,
squalidus,japonicus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
fundulus,catenatus,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,
characidium,fasciatum,,,,,,,1.0,1.0,5.6,5.6,25.0,25.0,,,,,,,,,,,,,
pteronotropis,hypselopterus,,,,,,,1.0,1.0,7.0,7.0,,,,,,,,,,,,,,,
girardinus,metallicus,1.0,,,,,,,1.0,6.0,6.0,9.0,9.0,,,,,1.0,,,,,,,,
gephyrocharax,valencia,,,,,,,1.0,1.0,6.0,6.0,25.0,25.0,,,,,,,,,,,,,
labidochromis,pallidus,,,,,,,1.0,1.0,7.8,7.8,10.0,10.0,,,,,,,,,,,,,
hisonotus,maculipinnis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
prionurus,laticlavius,,1.0,3,30,3,25,,,,,,,1.0,,,,,,,,,,,,
noturus,miurus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
neomerinthe,erostris,,1.0,52,505,,,1.0,,,,,,,,,,,,,,,,,,
doryrhamphus,excisus,,1.0,2,50,,,,,,,,,1.0,,,,,,,,,,,,
leuciscus,leuciscus,,,1,?,,,1.0,1.0,6.0,6.0,,,,,,1.0,,1.0,,,,,,,
