genus,species,demersal,marine,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,benthopelagic,freshwater,min_ph,max_ph,min_dh,max_dh,reef-associated,pelagic,amphidromous,brackish,non-migratory,potamodromous,bathydemersal,oceanodromous,pelagic-neritic,anadromous,pelagic-oceanic,bathypelagic,catadromous
brachyrhaphis,parismina,,,,,,,,1.0,7.0,7.0,4.0,4.0,,1.0,,,1.0,,,,,,,,
marcusenius,moorii,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
epinephelus,undulosus,,1.0,24,90,,,,,,,,,1.0,,,,,,,,,,,,
heteropriacanthus,cruentatus,,1.0,3,300,3,35,,,,,,,1.0,,,,,,,,,,,,
pterois,volitans,,1.0,2,55,,,,,,,,,1.0,,,,,,,,,,,,
hypoclinemus,mentalis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
isorineloricaria,spinosissima,1.0,,,,,,,1.0,7.0,7.0,15.0,15.0,,,,,,,,,,,,,
parachromis,managuensis,,,3,10,,,1.0,1.0,7.0,7.0,10.0,10.0,,,,,,,,,,,,,
poropuntius,bolovenensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
fowleria,isostigma,,1.0,0,30,,,,,,,,,1.0,,,,,,,,,,,,
epinephelus,malabaricus,,1.0,0,150,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,
notropis,rafinesquei,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,atrocaudalis,,,?,50,,,1.0,1.0,,,,,,,,,,,,,,,,,
cephalopholis,cyanostigma,,1.0,1,50,,,,,,,,,1.0,,,,1.0,,,,,,,,
pangio,agma,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
scorpaenodes,guamensis,,1.0,0,20,0,5,,,,,,,1.0,,,,,,,,,,,,
ostracion,nasus,,1.0,2,80,,,,,,,,,1.0,,,,,,,,,,,,
moolgarda,cunnesius,1.0,1.0,0,3,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0
syngnathus,scovelli,1.0,1.0,0,6,?,6,,1.0,,,,,,,,1.0,,,,,,,,,
pseudolabrus,fuentesi,,1.0,?,15,,,,,,,,,1.0,,,,,,,,,,,,
erimystax,dissimilis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
ivindomyrus,opdenboschi,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
chlorurus,frontalis,,1.0,10,40,,,,,,,,,1.0,,,,,,,,,,,,
pomacentrus,coelestis,,1.0,1,20,,,,,,,,,1.0,,,,1.0,,,,,,,,
gila,crassicauda,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
scleronema,minutum,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
ctenochaetus,striatus,,1.0,0,60,6,30,,,,,,,1.0,,,,,,,,,,,,
moenkhausia,costae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
plectorhinchus,sordidus,,1.0,2,80,,,,,,,,,1.0,,,,,,,,,,,,
sardinella,longiceps,,1.0,20,200,,,,,,,,,,,,,,,,1.0,1.0,,,,
gnathopogon,imberbis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
rhinichthys,obtusus,,,2,5,,,,1.0,,,,,,1.0,,,,,,,,,,,
micropanchax,johnstoni,,,,,,,1.0,1.0,6.5,6.5,,,,,,,1.0,,,,,,,,
sebastapistes,strongia,,1.0,0,37,0,3,,,,,,,1.0,,,,,,,,,,,,
spondyliosoma,cantharus,,1.0,5,300,,,1.0,,,,,,,,,,,,,1.0,,,,,
ptereleotris,melanopogon,1.0,1.0,22,42,,,,,,,,,,,,,,,,,,,,,
enteromius,anniae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
brotula,multibarbata,,1.0,1,650,180,220,,,,,,,1.0,,,,,,,,,,,,
hoplias,malabaricus,,,,,,,1.0,1.0,6.0,6.0,4.0,4.0,,,,,,1.0,,,,,,,
sarotherodon,tournieri,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
cirripectes,variolosus,,1.0,0,31,1,5,,,,,,,1.0,,,,,,,,,,,,
cosmocampus,banneri,,1.0,2,30,,,,,,,,,1.0,,,,,,,,,,,,
spirinchus,thaleichthys,,1.0,?,137,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,
astyanax,nasutus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
pseudobunocephalus,amazonicus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
sikukia,gudgeri,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
gila,elegans,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
lutjanus,sebae,,1.0,5,180,,,,,,,,,1.0,,,1.0,,,,,,,,,
halichoeres,leptotaenia,1.0,1.0,2,15,,,,,,,,,,,,,,,,,,,,,
varicorhinus,maroccanus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
scorpaenopsis,papuensis,,1.0,1,40,,,,,,,,,1.0,,,1.0,,,,,,,,,
rhabdoblennius,snowi,,1.0,0,3,,,,,,,,,1.0,,,,,,,,,,,,
paracirrhites,forsteri,,1.0,0,35,5,35,,,,,,,1.0,,,,,,,,,,,,
pentapodus,caninus,,1.0,2,35,,,,,,,,,1.0,,,,,,,,,,,,
chanos,chanos,,1.0,1,30,?,15,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
oreochromis,mossambicus,,,1,12,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
gobiocichla,wonderi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
notropis,anogenus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
pervagor,melanocephalus,,1.0,20,40,20,?,,,,,,,1.0,,,,,,,,,,,,
caranx,melampygus,,1.0,0,190,,,,,,,,,1.0,,,1.0,,,,,,,,,
pseudanthias,pictilis,,1.0,12,40,20,30,,,,,,,1.0,,,,,,,,,,,,
caranx,sexfasciatus,,1.0,0,146,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,
epinephelus,summana,,1.0,1,30,,,,,,,,,1.0,,,1.0,,,,,,,,,
euprotomicrus,bispinatus,,1.0,0,1800,,,,,,,,,,,,,,,,,,,,1.0,
paraclinus,integripinnis,1.0,1.0,0,15,,,,,,,,,,,,,,,,,,,,,
astyanax,atratoensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
haplochromis,altigenis,,,?,16,,,1.0,1.0,,,,,,,,,,,,,,,,,
lutjanus,lutjanus,,1.0,0,96,,,,,,,,,1.0,,,,,,,,,,,,
argyrops,bleekeri,1.0,1.0,50,200,,,,,,,,,,,,1.0,,,,,,,,,
helcogramma,novaecaledoniae,1.0,1.0,2,38,,,,,,,,,,,,,,,,,,,,,
heterandria,formosa,,,,,,,1.0,1.0,7.0,7.0,9.0,9.0,,,,1.0,1.0,,,,,,,,
fusigobius,neophytus,,1.0,0,25,,,,,,,,,1.0,,,,,,,,,,,,
etheostoma,microperca,,,,,,,1.0,1.0,7.0,7.0,15.0,15.0,,,,,,,,,,,,,
oncorhynchus,keta,,1.0,0,250,?,61,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,
micralestes,eburneensis,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
amia,calva,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
scaphognathops,stejnegeri,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
bathypterois,dubius,,1.0,750,1941,,,,,,,,,,,,,,,1.0,,,,,,
istiblennius,zebra,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
cottus,beldingii,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
lepidomeda,copei,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
parupeneus,margaritatus,,1.0,1,55,,,,,,,,,1.0,,,,,,,,,,,,
notropis,sabinae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
poeciliopsis,presidionis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
oxycheilinus,orientalis,,1.0,0,80,,,,,,,,,1.0,,,,,,,,,,,,
myripristis,vittata,,1.0,3,100,15,80,,,,,,,1.0,,,,,,,,,,,,
lepthoplosternum,pectorale,1.0,,,,,,,1.0,5.8,5.8,25.0,25.0,,,,,,,,,,,,,
brachirus,orientalis,1.0,1.0,15,20,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,
schistura,robertsi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
apogon,semiornatus,,1.0,5,30,,,,,,,,,1.0,,,,,,,,,,,,
thalassoma,purpureum,,1.0,0,10,,,,,,,,,1.0,,,,,,,,,,,,
margariscus,margarita,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
iniistius,aneitensis,,1.0,12,92,,,,,,,,,1.0,,,,,,,,,,,,
anampses,cuvier,,1.0,2,26,,,,,,,,,1.0,,,,,,,,,,,,
phalacronotus,apogon,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
tylosurus,crocodilus,,1.0,0,13,,,,,,,,,1.0,,,,,,,1.0,,,,,
poecilopsetta,multiradiata,,1.0,336,480,,,,,,,,,,,,,,,1.0,,,,,,
crenicichla,semicincta,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
macropharyngodon,bipartitus,,1.0,?,30,,,,,,,,,1.0,,,,1.0,,,,,,,,
planiliza,subviridis,1.0,1.0,0,5,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0
chaetodon,punctatofasciatus,,1.0,0,45,,,,,,,,,1.0,,,,,,,,,,,,
gila,atraria,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
labeobarbus,capensis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
gnathanodon,speciosus,,1.0,0,80,,,,,,,,,1.0,,,,,,,,,,,,
hemibrycon,taeniurus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
makunaima,guianensis,,,1,?,,,1.0,1.0,5.8,5.8,8.0,8.0,,,,,,,,,,,,,
astatoreochromis,alluaudi,,,?,20,,,1.0,1.0,7.5,7.5,15.0,15.0,,,,,,,,,,,,,
halichoeres,nebulosus,,1.0,1,40,,,,,,,,,1.0,,,,,,,,,,,,
copadichromis,pleurostigmoides,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cephalopholis,miniata,,1.0,2,150,,,,,,,,,1.0,,,,1.0,,,,,,,,
notropis,cummingsae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
balitora,burmanica,1.0,,,,,,,1.0,7.0,7.0,8.0,8.0,,,,,,,,,,,,,
campostoma,pullum,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
gastromyzon,contractus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
stolephorus,indicus,,1.0,20,50,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,
astronesthes,niger,,1.0,0,?,,,,,,,,,,,,,,,,,,,,1.0,
nemacheilus,binotatus,,,0,1,,,1.0,1.0,,,,,,,,,,,,,,,,,
chromidotilapia,guntheri,,,,,,,1.0,1.0,6.0,6.0,5.0,5.0,,,,,,1.0,,,,,,,
lobocheilos,delacouri,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
pervagor,aspricaudus,,1.0,1,25,,,,,,,,,1.0,,,,,,,,,,,,
pseudophoxinus,libani,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
halichoeres,nigrescens,,1.0,3,10,,,,,,,,,1.0,,,,,,,,,,,,
notropis,melanostomus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cottus,gulosus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
parodon,bifasciatus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
platygobio,gracilis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
misgurnus,anguillicaudatus,1.0,,5,?,,,,1.0,,,,,,,,,,,,,,,,,
chaetostoma,lepturum,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
anabas,testudineus,1.0,,0,?,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,
chromis,circumaurea,,1.0,111,130,,,,,,,,,1.0,,,,,,,,,,,,
rhomboplites,aurorubens,1.0,1.0,40,300,40,100,,,,,,,,,,,,,,,,,,,
cyprinella,lutrensis,,,,,,,1.0,1.0,7.0,7.0,10.0,10.0,,,,,,,,,,,,,
eviota,abax,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
acipenser,sturio,1.0,1.0,4,93,5,60,,1.0,7.5,7.5,10.0,10.0,,,,1.0,,,,,,1.0,,,
taeniamia,fucata,,1.0,2,60,,,,,,,,,1.0,,,,,,,,,,,,
phenacobius,crassilabrum,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
astroblepus,guentheri,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
luxilus,chrysocephalus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
scorpaenopsis,brevifrons,,1.0,1,38,,,,,,,,,1.0,,,,1.0,,,,,,,,
epinephelus,morio,,1.0,5,330,70,330,,,,,,,1.0,,,,1.0,,,,,,,,
luciobarbus,steindachneri,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
catostomus,microps,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
pterocryptis,buccata,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
ancistrus,gymnorhynchus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
xenentodon,canciloides,,,0,?,,,,1.0,,,,,,1.0,,,,,,,,,,,
gymnothorax,phasmatodes,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
amphiprion,tricinctus,,1.0,3,40,,,,,,,,,1.0,,,,1.0,,,,,,,,
scarus,caudofasciatus,,1.0,8,40,,,,,,,,,1.0,,,,1.0,,,,,,,,
pseudochromis,elongatus,,1.0,5,60,,,,,,,,,1.0,,,,,,,,,,,,
priolepis,farcimen,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,
petromyzon,marinus,1.0,1.0,1,4099,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,
gagata,gagata,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
anodontostoma,chacunda,,1.0,0,50,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,
rivulus,cylindraceus,,,,,,,1.0,1.0,7.0,7.0,7.0,7.0,,,,,1.0,,,,,,,,
phractura,intermedia,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
hemigrammus,elegans,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
sicyopus,nigriradiatus,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
pentapodus,paradiseus,,1.0,10,70,,,,,,,,,1.0,,,,,,,,,,,,
noturus,maydeni,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
dussumieria,elopsoides,,1.0,0,50,,,,,,,,,,,,,,,,,1.0,,,,
erimyzon,sucetta,1.0,,,,,,,1.0,7.0,7.0,15.0,15.0,,,,,,,,,,,,,
samaris,spinea,,1.0,44,88,,,,,,,,,,,,,,,,,1.0,,,,
serranochromis,macrocephalus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
epinephelus,fuscoguttatus,,1.0,1,60,,,,,,,,,1.0,,,,,,,,,,,,
scorpaenopsis,eschmeyeri,1.0,1.0,1,24,,,,,,,,,,,,,,,,,,,,,
phenacobius,catostomus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
gobiesox,daedaleus,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
ophioblennius,atlanticus,,1.0,50,?,,,,,,,,,1.0,,,,,,,,,,,,
apogonichthyoides,timorensis,,1.0,1,15,,,,,,,,,1.0,,,,1.0,,,,,,,,
rachycentron,canadum,,1.0,0,1200,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,
acipenser,ruthenus,1.0,,1,?,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,
otolithes,ruber,,1.0,10,50,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,
carangoides,coeruleopinnatus,,1.0,1,60,,,,,,,,,1.0,,,,,,,,,,,,
psenopsis,obscura,,1.0,200,800,,,,,,,,,,,,,,,1.0,,,,,,
chirostoma,lucius,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
gomphosus,varius,,1.0,0,35,2,30,,,,,,,1.0,,,,,,,,,,,,
cephalopholis,urodeta,,1.0,0,60,3,15,,,,,,,1.0,,,,,,,,,,,,
aplochiton,marinus,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
macrodontogobius,wilburi,,1.0,0,20,1,10,,,,,,,1.0,,,1.0,,,,,,,,,
barbonymus,gonionotus,,,15,?,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
channa,marulius,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
enteromius,stauchi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
chromis,earina,,1.0,60,116,,,,,,,,,1.0,,,,,,,,,,,,
schistura,deignani,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
phoxinus,bigerri,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
antennatus,nummifer,,1.0,0,293,19,20,,,,,,,1.0,,,,,,,,,,,,
balistoides,conspicillum,,1.0,1,75,,,,,,,,,1.0,,,1.0,,,,,,,,,
hyperopisus,bebe,1.0,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,
hemigrammus,microstomus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
hyphessobrycon,proteus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
parapercis,millepunctata,,1.0,3,50,,,,,,,,,1.0,,,,,,,,,,,,
epinephelus,rivulatus,,1.0,1,150,,,,,,,,,1.0,,,,,,,,,,,,
kyphosus,cinerascens,,1.0,0,45,,,,,,,,,1.0,,,,,,,,,,,,
alosa,alabamae,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,
valenciennea,puellaris,,1.0,2,84,10,30,,,,,,,1.0,,,,,,,,,,,,
cirrhitus,pinnulatus,,1.0,0,23,1,3,,,,,,,1.0,,,,,,,,,,,,
novaculops,woodi,,1.0,?,48,,,1.0,,,,,,,,,,,,,,,,,,
astroblepus,festae,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
plesiops,insularis,,1.0,0,25,2,25,,,,,,,1.0,,,,,,,,,,,,
etheostoma,rupestre,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
samariscus,desoutterae,,1.0,310,350,,,,,,,,,,,,,,,1.0,,,,,,
notropis,blennius,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
minous,monodactylus,1.0,1.0,10,55,,,,,,,,,,,,,,,,,,,,,
phenacogrammus,aurantiacus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
lepomis,cyanellus,,,,,,,1.0,1.0,7.0,7.0,10.0,10.0,,,,,,,,,,,,,
pascua,caudilinea,1.0,1.0,0,40,,,,,,,,,,,,,,,,,,,,,
siphateles,bicolor,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
vanderhorstia,ambanoro,,1.0,1,30,,,,,,,,,1.0,,,,,,,,,,,,
chiloglanis,waterloti,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
potamotrygon,motoro,,,,,,,1.0,1.0,5.0,5.0,10.0,10.0,,,,,,1.0,,,,,,,
plectranthias,winniensis,,1.0,23,116,,,,,,,,,1.0,,,,,,,,,,,,
labidochromis,maculicauda,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
ostracion,immaculatus,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
alosa,pseudoharengus,,1.0,5,145,56,110,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,
mastacembelus,favus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
blenniella,periophthalmus,,1.0,0,3,,,,,,,,,1.0,,,,,,,,,,,,
noturus,albater,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
echiostoma,barbatum,,1.0,30,4200,,,,,,,,,,,,,,,,,,,,1.0,
anematichthys,apogon,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
gnathonemus,petersii,1.0,,,,,,,1.0,6.0,6.0,5.0,5.0,,,,,,,,,,,,,
paramormyrops,kingsleyae,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
trichopsis,vittata,1.0,,,,,,,1.0,6.0,6.0,5.0,5.0,,,,,,,,,,,,,
anematichthys,armatus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
morone,saxatilis,1.0,1.0,30,?,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,
xenocephalus,egregius,1.0,1.0,180,440,,,,,,,,,,,,,,,,,,,,,
taeniamia,biguttata,,1.0,0,33,0,15,,,,,,,1.0,,,,,,,,,,,,
diplectrum,formosum,,1.0,1,80,,,,,,,,,1.0,,,,,,,,,,,,
labeo,parvus,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,
luxilus,coccogenis,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
chilara,taylori,1.0,1.0,0,280,,,,,,,,,,,,1.0,,,,,,,,,
halichoeres,chloropterus,,1.0,0,10,,,,,,,,,1.0,,,,,,,,,,,,
coris,aygula,,1.0,2,30,2,30,,,,,,,1.0,,,,,,,,,,,,
hybognathus,amarus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
fundulus,escambiae,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,
ericymba,buccata,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cirrhitichthys,falco,,1.0,4,46,10,20,,,,,,,1.0,,,,,,,,,,,,
scarus,altipinnis,,1.0,1,50,,,,,,,,,1.0,,,,,,,,,,,,
microspathodon,chrysurus,,1.0,0,120,0,10,,,,,,,1.0,,,,1.0,,,,,,,,
cottus,confusus,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
omobranchus,punctatus,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,
cheilinus,trilobatus,,1.0,1,30,,,,,,,,,1.0,,,1.0,,,,,,,,,
mylocheilus,caurinus,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
heteropriacanthus,fulgens,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
epinephelus,fasciatus,,1.0,4,160,20,45,,,,,,,1.0,,,1.0,,,,,,,,,
erythrinus,kessleri,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
ellochelon,vaigiensis,,1.0,0,5,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0
diplomystes,nahuelbutaensis,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
crenidens,crenidens,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
clinocottus,analis,1.0,1.0,0,18,,,,,,,,,,,,,1.0,,,,,,,,
plectrypops,lima,,1.0,5,40,,,,,,,,,1.0,,,,,,,,,,,,
astyanax,orthodus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
dermogenys,siamensis,,,0,?,,,,1.0,,,,,,1.0,,,,,,,,,,,
gnatholepis,anjerensis,,1.0,1,46,,,,,,,,,1.0,,,1.0,,,,,,,,,
ostorhinchus,nigrofasciatus,,1.0,3,50,,,,,,,,,1.0,,,,,,,,,,,,
betta,splendens,,,,,,,1.0,1.0,6.0,6.0,5.0,5.0,,,,,,,,,,,,,
notropis,nazas,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cephalopholis,hemistiktos,,1.0,4,55,15,20,,,,,,,1.0,,,,1.0,,,,,,,,
neobythites,marquesaensis,,1.0,420,450,,,,,,,,,,,,,,,1.0,,,,,,
ostichthys,japonicus,,1.0,20,270,,,,,,,,,1.0,,,,,,,,,,,,
synodus,binotatus,,1.0,1,88,1,10,,,,,,,1.0,,,,,,,,,,,,
ameiurus,natalis,1.0,,10,?,,,,1.0,,,,,,,,,,,,,,,,,
pterophyllum,altum,,,,,,,1.0,1.0,4.8,4.8,1.0,1.0,,,,,1.0,,,,,,,,
lophius,americanus,1.0,1.0,0,800,,,,,,,,,,,,,,,,1.0,,,,,
lobotes,surinamensis,,1.0,0,70,0,70,1.0,,,,,,,,,1.0,,,,1.0,,,,,
paracaesio,sordida,,1.0,5,200,?,100,,,,,,,1.0,,,,,,,,,,,,
lutjanus,griseus,,1.0,5,180,?,50,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,
apogon,caudicinctus,,1.0,0,40,,,,,,,,,1.0,,,,,,,,,,,,
scartella,cristata,,1.0,0,10,,,,,,,,,1.0,,,,,,,,,,,,
pectenocypris,balaena,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
aztecula,sallaei,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
neolissochilus,stracheyi,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
neolissochilus,vittatus,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
hydrocynus,forskahlii,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,
priapella,bonita,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,
pristiapogon,taeniopterus,,1.0,1,42,1,9,,,,,,,1.0,,,,,,,,,,,,
scarus,spinus,,1.0,0,30,2,15,,,,,,,1.0,,,,,,,,,,,,
trachinocephalus,myops,,1.0,0,400,3,90,,,,,,,1.0,,,,,,,,,,,,
upeneus,vittatus,,1.0,5,100,,,,,,,,,1.0,,,1.0,,,,,,,,,
mycteroperca,bonaci,,1.0,60,250,,,,,,,,,1.0,,,,,,,,,,,,
garra,waterloti,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
mystus,vittatus,1.0,,,,,,,1.0,6.0,6.0,4.0,4.0,,,,1.0,,,,,,,,,
dentex,maroccanus,1.0,1.0,20,500,,,,,,,,,,,,,,,,,,,,,
